cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence,match_method,similarity_score
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,[semantic] So bear with me throughout this whole video please.,63239,0.749002335616685,semantic,0.6681
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Sensing,1592,0.6292617200371871,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1819,0.7174003092482654,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,[semantic] Honda Civic Sport. Congratulations.,8679,0.698328024586485,semantic,0.6623
workflow.interior_focus,partial,confidence 0.00 below floor 0.5,inside,7018,0.0003079200239553693,exact,
workflow.buyers_order_confirmation,pass,on-time firing within tolerance and confidence floor,we're good to go,8040,0.66211561026405,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Sensing,1592,0.6292617200371871,exact,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,10238,0.7659924498744975,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,11067,0.8261682153239301,exact,
workflow.interior_focus,partial,confidence 0.00 below floor 0.5,inside,7018,0.0003079200239553693,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15071,0.7317375662073942,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,15087,0.7115099007047643,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,15909,0.7106085959858707,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,[semantic] runs in 10 minute and volts after 10 minutes will automatica,82639,0.6690627057580872,semantic,0.7377
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1819,0.7174003092482654,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,0,0.6902047835067142,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,266,0.677927371697487,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,2804,0.785604198754034,exact,
universal.feature.heated_steering_wheel,pass,on-time firing within tolerance and confidence floor,[semantic] Let's talk about some of some mechanical instructions.,55040,0.8160323495586003,semantic,0.67
universal.feature.wireless_apple_carplay,fail,cue did not fire,,,,,
universal.feature.wireless_android_auto,fail,cue did not fire,,,,,
workflow.trial_close,pass,on-time firing within tolerance and confidence floor,feels right,21665,0.7893621963983384,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,238,0.8689126513543518,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED headlights,425,0.8161294515745625,exact,
honda.feature.roof-rails,pass,on-time firing within tolerance and confidence floor,Roof Rails,521,0.8226084270123232,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,710,0.7376370497472065,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,842,0.7629131527679104,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,850,0.768187315885626,exact,
universal.feature.head_up_display,pass,on-time firing within tolerance and confidence floor,head-up display,1010,0.7288198879726492,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,1900,0.743961231573259,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,2150,0.7932046653905771,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic sunroof,2125,0.8209355526498894,exact,
workflow.exterior_focus,partial,confidence 0.16 below floor 0.5,exterior,481,0.16491866972297936,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LEDs,1575,0.8238615536891682,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moon roof,2014,0.9333046800464152,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,2531,0.8669243854973178,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,hop in,4329,0.8078689276924257,exact,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,5000,0.8012737418280013,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,5165,0.8303876569969162,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,5180,0.8211838078110054,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,5675,0.8048260384741719,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,1766,0.9059965547263127,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,1872,0.9151785325547743,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,2037,0.8866579788770927,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,2045,0.8491630479253796,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,2210,0.8305960445536156,exact,
honda.feature.bose_premium_audio_honda,pass,on-time firing within tolerance and confidence floor,Bose,2238,0.8289493801952754,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,2346,0.9292125606891004,exact,
workflow.discovery_budget_signal,pass,on-time firing within tolerance and confidence floor,budget,2681,0.8694035636730492,exact,
honda.feature.front-wheel-drive,pass,on-time firing within tolerance and confidence floor,Front-Wheel Drive,277,0.7826002957122766,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic moon roof,1268,0.8608265260012135,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,the rear,2762,0.8100033920526974,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,3335,0.8550520239887167,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,the touchscreen,3815,0.8379869169875016,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,247,0.6542638017548854,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1927,0.7563745084592156,exact,
universal.feature.hands_free_power_tailgate,pass,on-time firing within tolerance and confidence floor,[semantic] Wipers are right underneath the hoodline. Let's say if you'r,118599,0.760953960282235,semantic,0.677
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,5051,0.615728290646555,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,6538,0.7246290400749053,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8133,0.7893151599088963,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,11161,0.7027300709467604,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8133,0.7893151599088963,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15536,0.726963262223125,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,wireless Android Auto,14925,0.7398875645857511,exact,
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,heated seats,15819,0.7717332484202046,exact,
honda.feature.heated-side-mirrors,partial,confidence 0.43 below floor 0.5,Heated Side Mirrors,16314,0.428720999825548,exact,
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,16740,0.7371626489288994,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,Idle-Stop,18688,0.7493239308564862,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,5051,0.615728290646555,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,20918,0.6254315900398812,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,[semantic] speed. Honda Sense and you can see it's available. You can u,956599,0.7860573442334836,semantic,0.7366
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1540,0.6373616626544067,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,29485,0.7145064725579577,exact,
workflow.discovery_towing_cargo,pass,on-time firing within tolerance and confidence floor,cargo space,4967,0.8118999941202764,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8852,0.8996966130589352,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,13121,0.7505212121439295,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,[semantic] speed. Honda Sense and you can see it's available. You can u,956599,0.7860573442334836,semantic,0.7366
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,[semantic] Now hybrid models,366359,0.6661546091494425,semantic,0.6559
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15009,0.7766889817838302,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,15020,0.7743228127881953,exact,
workflow.trade_in_dent,pass,on-time firing within tolerance and confidence floor,a ding,17188,0.7181479363672135,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,1540,0.6373616626544067,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,8852,0.8996966130589352,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,15009,0.7766889817838302,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,15020,0.7743228127881953,exact,
honda.feature.hondalink,pass,on-time firing within tolerance and confidence floor,HondaLink,23155,0.6467585013059615,exact,
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,heated seats,23715,0.6372547115847761,exact,
universal.feature.wireless_phone_charger,pass,on-time firing within tolerance and confidence floor,wireless phone charger,24623,0.6016281899057485,exact,
honda.feature.reverse,partial,confidence 0.43 below floor 0.5,Reverse,24964,0.43464448427760566,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,moonroof,29485,0.7145064725579577,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,274,0.7067585857882858,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,[semantic] Let's get going.,13960,0.7182729377065808,semantic,0.65
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1203,0.6424703897084367,exact,
workflow.test_drive_opening,pass,on-time firing within tolerance and confidence floor,take it out,3610,0.7386717811770315,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,4635,0.7684442955957115,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,7990,0.7849130401631035,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,11853,0.7335663330355836,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,11863,0.7314887851744089,exact,
honda.feature.reverse,partial,confidence 0.22 below floor 0.5,Reverse,13547,0.2249269225480505,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,"[semantic] plan on to the brake, hit the push button start or on and ru",360819,0.7046835366425566,semantic,0.6575
workflow.walkaround_opening,pass,on-time firing within tolerance and confidence floor,"[semantic] this all new Trail Sport Hybrid. So in today's video, I'm go",21920,0.8700000795606946,semantic,0.7033
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,"[semantic] the grille, I really like how it extends into the headlights",187419,0.8747244491614566,semantic,0.7079
honda.feature.honda_sensing_360plus,pass,on-time firing within tolerance and confidence floor,[semantic] things with this. Now this does have the Honda sensing tech ,66160,0.8299889842002232,semantic,0.6845
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,932,0.8494870397136791,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,12414,0.859914294936605,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,4457,0.9267497060843951,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,[semantic] seats.,541479,0.8526126270051133,semantic,0.6676
universal.feature.heated_front_seats,pass,on-time firing within tolerance and confidence floor,"[semantic] the grille, I really like how it extends into the headlights",187419,0.8747244491614566,semantic,0.6653
universal.feature.hands_free_power_tailgate,pass,on-time firing within tolerance and confidence floor,[semantic] And then you move into your tailgate area.,341019,0.8211854475160093,semantic,0.6588
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,sunroof,2740,0.8423064437068251,exact,
honda.feature.bose_premium_audio_honda,fail,cue did not fire,,,,,
honda.feature.real_time_awd,pass,on-time firing within tolerance and confidence floor,"[semantic] get the LX all-wheel drive. There's also the sport, sport hy",50320,0.8772372928575983,semantic,0.7268
