cue_id,outcome,reason,matched_phrase,detection_timestamp_ms,confidence,match_method,similarity_score
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,20340,,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,108540,,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1328760,,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,146160,,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,501780,,exact,
workflow.buyers_order_confirmation,pass,on-time firing within tolerance and confidence floor,we're good to go,521700,,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,108540,,exact,
honda.feature.paddle-shifters,pass,on-time firing within tolerance and confidence floor,Paddle Shifters,676320,,exact,
workflow.front_line_ready,pass,on-time firing within tolerance and confidence floor,full tank,735420,,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,501780,,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1034640,,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,"[semantic]  Off, auto, options, brightness, push at end.",685380,,semantic,0.5707
honda.feature.reverse,pass,on-time firing within tolerance and confidence floor,Reverse,1100100,,exact,
honda.feature.idle-stop,pass,on-time firing within tolerance and confidence floor,[semantic]  Show all the cool standard features of function so you guys,12900,,semantic,0.561
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED lights,1328760,,exact,
workflow.self_introduction,pass,on-time firing within tolerance and confidence floor,welcome to,0,,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,12300,,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,on the outside,184440,,exact,
universal.feature.heated_steering_wheel,pass,on-time firing within tolerance and confidence floor,heated steering,1281060,,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,Apple CarPlay,1389480,,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,"[semantic]  EV mode, which this one does have a little bit of more of a",308460,,semantic,0.5793
workflow.trial_close,pass,on-time firing within tolerance and confidence floor,feels right,1643760,,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,24480,,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LED headlights,35400,,exact,
honda.feature.roof-rails,pass,on-time firing within tolerance and confidence floor,Roof Rails,44940,,exact,
workflow.interior_focus,pass,on-time firing within tolerance and confidence floor,inside,61620,,exact,
universal.feature.wireless_apple_carplay,pass,on-time firing within tolerance and confidence floor,wireless Apple CarPlay,74160,,exact,
universal.feature.wireless_android_auto,pass,on-time firing within tolerance and confidence floor,Android Auto,74160,,exact,
universal.feature.head_up_display,pass,on-time firing within tolerance and confidence floor,HUD,170640,,exact,
honda.feature.honda_sensing,pass,on-time firing within tolerance and confidence floor,Honda Sensing,170640,,exact,
universal.feature.ventilated_front_seats,pass,on-time firing within tolerance and confidence floor,ventilated seats,188280,,exact,
universal.feature.panoramic_moonroof,pass,on-time firing within tolerance and confidence floor,panoramic sunroof,188280,,exact,
workflow.exterior_focus,pass,on-time firing within tolerance and confidence floor,exterior,18540,,exact,
universal.feature.led_headlights,pass,on-time firing within tolerance and confidence floor,LEDs,55800,,exact,
